course_id,name,credits,category,sub_category
42002001,金融，理財與生活,3,一般通識,社會通識
42015011,全球化下西方社會與民族關係,2,一般通識,社會通識
42085001,國家、個人與社會福利,2,一般通識,社會通識
42103001,由歷史事件看國際關係,2,一般通識,社會通識
42112011,臺灣政治,3,核心通識,社會通識
42112111,臺灣政治,3,核心通識,社會通識
42121001,當代日中台關係,2,一般通識,社會通識
42133011,社會學動動腦,3,核心通識,社會通識
42137011,法學素養,3,核心通識,社會通識
42138001,媒體素養,3,核心通識,社會通識
42138011,媒體素養,3,核心通識,社會通識
42142001,環視全球－挑戰國際視野,3,核心通識,社會通識
42142011,環視全球－挑戰國際視野,3,核心通識,社會通識
42156001,中國大陸概論,3,核心通識,社會通識
42179011,運動產業實務,2,一般通識,社會通識
42196001,年輕人須具備的期貨知識,2,一般通識,社會通識
90117001,食品安全與生活,3,一般通識,跨領域(社會、自然)
43016011,生活中的生命科學,3,核心通識,自然通識
43024001,物理學史與人類文明,3,核心通識,自然通識
43031001,心理與生活,3,核心通識,自然通識
43043001,數位遊戲與社會,3,一般通識,自然通識
90013001,健康管理專題講座,2,一般通識,自然通識
90060011,醫療與生活,2,一般通識,自然通識
90111001,環境科學與環境保護,2,一般通識,自然通識
90114001,數位轉型的智權與風險管理,2,一般通識,自然通識
43010001,生活中的律動,3,核心通識,自然通識
43024011,物理學史與人類文明,3,核心通識,自然通識
43025001,大腦與我,3,核心通識,自然通識
43027001,科技與人文社會,3,核心通識,自然通識
43027011,科技與人文社會,3,核心通識,自然通識
90014011,生物技術導論,2,一般通識,自然通識
90026001,探索海洋－從水岸到深海,2,一般通識,自然通識
90044001,藥物使用與生活的關係,2,一般通識,自然通識
90060021,醫療與生活,2,一般通識,自然通識
90104001,長期照護與健康產業發展,2,一般通識,自然通識
90109001,仰望星空探索宇宙,2,一般通識,自然通識
43016001,生活中的生命科學,3,核心通識,自然通識
43025011,大腦與我,3,核心通識,自然通識
43028001,探索數位世界,3,核心通識,自然通識
43028011,探索數位世界,3,核心通識,自然通識
90020001,認識中醫藥,2,一般通識,自然通識
90025001,天氣與氣候,2,一般通識,自然通識
90060001,醫療與生活,2,一般通識,自然通識
90069001,視力保健與眼睛疾病,2,一般通識,自然通識
90088001,預防醫學與校園健康,2,一般通識,自然通識
90106001,健康與生活,2,一般通識,自然通識
90115001,資訊素養與倫理,2,一般通識,跨領域(自然、資訊)
993015001,衛生保健,2,一般通識,自然通識
45024001,圖書館實務及創意管理,1,一般通識,書院通識
45043001,自主學習專題：新媒體播客行動家Ⅱ,2,一般通識,書院通識
45019011,新生專題：自學力,3,一般通識,書院通識
45041001,自主學習專題：世界咖啡文化,2,一般通識,書院通識
45042001,自主學習專題：大學新創行動家Ⅱ,3,一般通識,書院通識
45023001,國小學生課後關懷與輔導,1,一般通識,書院通識
45025001,動物權：理論與實踐,1,一般通識,書院通識
45034001,自主學習專題：機率與理則學在紙牌遊戲上的進階應用,2,一般通識,書院通識
